"Date","LA Name","DAQI"
2012-01-22,"East Lothian",1
2012-01-22,"East Renfrewshire",3
2012-01-22,"Edinburgh, City of",2
2012-01-22,"Falkirk",1
2012-01-22,"Fife",1
2012-01-22,"Glasgow City",2
2012-01-22,"Highland",3
2012-01-22,"Inverclyde",1
2012-01-22,"Midlothian",3
2012-01-22,"North Ayrshire",2
2012-01-22,"North Lanarkshire",1
2012-01-22,"Perth and Kinross",2
2012-01-22,"Renfrewshire",1
2012-01-22,"Scottish Borders",2
2012-01-22,"Shetland Islands",3
2012-01-22,"South Ayrshire",2
2012-01-22,"South Lanarkshire",1
2012-01-22,"Stirling",1
2012-01-22,"West Dunbartonshire",1
2012-01-22,"West Lothian",1
2012-01-23,"Aberdeen City",3
2012-01-23,"Angus",1
2012-01-23,"Dumfries and Galloway",3
2012-01-23,"Dundee City",3
2012-01-23,"East Dunbartonshire",2
2012-01-23,"East Lothian",1
2012-01-23,"East Renfrewshire",3
2012-01-23,"Edinburgh, City of",4
2012-01-23,"Falkirk",2
2012-01-23,"Fife",2
2012-01-23,"Glasgow City",2
2012-01-23,"Highland",3
2012-01-23,"Inverclyde",1
2012-01-23,"Midlothian",3
2012-01-23,"North Ayrshire",2
2012-01-23,"North Lanarkshire",2
2012-01-23,"Perth and Kinross",3
2012-01-23,"Renfrewshire",2
2012-01-23,"Scottish Borders",2
2012-01-23,"Shetland Islands",2
2012-01-23,"South Ayrshire",1
2012-01-23,"South Lanarkshire",2
2012-01-23,"Stirling",2
2012-01-23,"West Dunbartonshire",2
2012-01-23,"West Lothian",2
2012-01-24,"Aberdeen City",4
2012-01-24,"Angus",2
2012-01-24,"Dumfries and Galloway",2
2012-01-24,"Dundee City",3
2012-01-24,"East Dunbartonshire",2
2012-01-24,"East Lothian",2
2012-01-24,"East Renfrewshire",2
2012-01-24,"Edinburgh, City of",3
2012-01-24,"Falkirk",2
2012-01-24,"Fife",2
2012-01-24,"Glasgow City",4
2012-01-24,"Highland",3
2012-01-24,"Inverclyde",2
2012-01-24,"Midlothian",2
2012-01-24,"North Ayrshire",2
2012-01-24,"North Lanarkshire",2
2012-01-24,"Perth and Kinross",3
2012-01-24,"Renfrewshire",3
2012-01-24,"Scottish Borders",2
2012-01-24,"Shetland Islands",2
2012-01-24,"South Ayrshire",1
2012-01-24,"South Lanarkshire",4
2012-01-24,"Stirling",2
2012-01-24,"West Dunbartonshire",2
2012-01-24,"West Lothian",2
2012-01-25,"Aberdeen City",2
2012-01-25,"Angus",1
2012-01-25,"Dumfries and Galloway",3
2012-01-25,"Dundee City",2
2012-01-25,"East Dunbartonshire",1
2012-01-25,"East Lothian",1
2012-01-25,"East Renfrewshire",3
2012-01-25,"Edinburgh, City of",2
2012-01-25,"Falkirk",1
2012-01-25,"Fife",1
2012-01-25,"Glasgow City",2
2012-01-25,"Highland",3
2012-01-25,"Inverclyde",1
2012-01-25,"Midlothian",3
2012-01-25,"North Ayrshire",2
2012-01-25,"North Lanarkshire",1
2012-01-25,"Perth and Kinross",2
2012-01-25,"Renfrewshire",2
2012-01-25,"Scottish Borders",3
2012-01-25,"Shetland Islands",3
2012-01-25,"South Ayrshire",1
2012-01-25,"South Lanarkshire",2
2012-01-25,"Stirling",1
2012-01-25,"West Dunbartonshire",1
2012-01-25,"West Lothian",1
2012-01-26,"Aberdeen City",4
2012-01-26,"Angus",1
2012-01-26,"Clackmannanshire",1
2012-01-26,"Dumfries and Galloway",3
2012-01-26,"Dundee City",4
2012-01-26,"East Dunbartonshire",2
2012-01-26,"East Lothian",1
2012-01-26,"East Renfrewshire",3
2012-01-26,"Edinburgh, City of",4
2012-01-26,"Falkirk",3
2012-01-26,"Fife",3
2012-01-26,"Glasgow City",4
2012-01-26,"Highland",3
2012-01-26,"Inverclyde",2
2012-01-26,"Midlothian",3
2012-01-26,"North Ayrshire",2
2012-01-26,"North Lanarkshire",2
2012-01-26,"Perth and Kinross",4
2012-01-26,"Renfrewshire",2
2012-01-26,"Scottish Borders",3
2012-01-26,"Shetland Islands",3
2012-01-26,"South Ayrshire",1
2012-01-26,"South Lanarkshire",3
2012-01-26,"Stirling",2
2012-01-26,"West Dunbartonshire",2
2012-01-26,"West Lothian",2
2012-01-27,"Aberdeen City",3
2012-01-27,"Angus",1
2012-01-27,"Clackmannanshire",1
2012-01-27,"Dumfries and Galloway",2
2012-01-27,"Dundee City",4
2012-01-27,"East Dunbartonshire",3
2012-01-27,"East Lothian",2
2012-01-27,"East Renfrewshire",2
2012-01-27,"Edinburgh, City of",4
2012-01-27,"Falkirk",2
2012-01-27,"Fife",2
2012-01-27,"Glasgow City",3
2012-01-27,"Highland",3
2012-01-27,"Inverclyde",1
2012-01-27,"Midlothian",2
2012-01-27,"North Ayrshire",2
2012-01-27,"North Lanarkshire",3
2012-01-27,"Perth and Kinross",3
2012-01-27,"Renfrewshire",2
2012-01-27,"Scottish Borders",2
2012-01-27,"Shetland Islands",3
2012-01-27,"South Ayrshire",2
2012-01-27,"South Lanarkshire",3
2012-01-27,"Stirling",2
2012-01-27,"West Dunbartonshire",2
2012-01-27,"West Lothian",2
2012-01-28,"Aberdeen City",3
2012-01-28,"Angus",1
2012-01-28,"Clackmannanshire",2
2012-01-28,"Dumfries and Galloway",2
2012-01-28,"Dundee City",3
2012-01-28,"East Dunbartonshire",2
2012-01-28,"East Lothian",2
2012-01-28,"East Renfrewshire",2
2012-01-28,"Edinburgh, City of",3
2012-01-28,"Falkirk",2
2012-01-28,"Fife",2
2012-01-28,"Glasgow City",4
2012-01-28,"Highland",2
2012-01-28,"Inverclyde",2
2012-01-28,"Midlothian",2
2012-01-28,"North Ayrshire",2
2012-01-28,"North Lanarkshire",2
2012-01-28,"Perth and Kinross",3
2012-01-28,"Renfrewshire",3
2012-01-28,"Scottish Borders",1
2012-01-28,"Shetland Islands",2
2012-01-28,"South Ayrshire",1
2012-01-28,"South Lanarkshire",3
2012-01-28,"Stirling",2
2012-01-28,"West Dunbartonshire",2
2012-01-28,"West Lothian",2
2012-01-29,"Aberdeen City",2
2012-01-29,"Angus",2
2012-01-29,"Clackmannanshire",1
2012-01-29,"Dumfries and Galloway",1
2012-01-29,"Dundee City",3
2012-01-29,"East Dunbartonshire",2
2012-01-29,"East Lothian",1
2012-01-29,"East Renfrewshire",2
2012-01-29,"Edinburgh, City of",2
2012-01-29,"Falkirk",2
2012-01-29,"Fife",2
2012-01-29,"Glasgow City",3
2012-01-29,"Highland",2
2012-01-29,"Inverclyde",1
2012-01-29,"Midlothian",2
2012-01-29,"North Ayrshire",1
2012-01-29,"North Lanarkshire",2
2012-01-29,"Perth and Kinross",2
2012-01-29,"Renfrewshire",2
2012-01-29,"Scottish Borders",2
2012-01-29,"Shetland Islands",3
2012-01-29,"South Ayrshire",1
2012-01-29,"South Lanarkshire",2
2012-01-29,"Stirling",2
2012-01-29,"West Dunbartonshire",2
2012-01-29,"West Lothian",2
2012-01-30,"Aberdeen City",3
2012-01-30,"Angus",1
2012-01-30,"Clackmannanshire",2
2012-01-30,"Dumfries and Galloway",2
2012-01-30,"Dundee City",2
2012-01-30,"East Dunbartonshire",2
2012-01-30,"East Lothian",2
2012-01-30,"East Renfrewshire",2
2012-01-30,"Edinburgh, City of",4
2012-01-30,"Falkirk",3
2012-01-30,"Fife",2
2012-01-30,"Glasgow City",3
2012-01-30,"Highland",2
2012-01-30,"Inverclyde",2
2012-01-30,"Midlothian",2
2012-01-30,"North Ayrshire",2
2012-01-30,"North Lanarkshire",2
2012-01-30,"Perth and Kinross",3
2012-01-30,"Renfrewshire",2
2012-01-30,"Scottish Borders",2
2012-01-30,"Shetland Islands",3
2012-01-30,"South Ayrshire",1
2012-01-30,"South Lanarkshire",3
2012-01-30,"Stirling",2
2012-01-30,"West Dunbartonshire",2
2012-01-30,"West Lothian",3
2012-01-31,"Aberdeen City",3
2012-01-31,"Angus",3
2012-01-31,"Clackmannanshire",3
2012-01-31,"Dumfries and Galloway",2
2012-01-31,"Dundee City",3
2012-01-31,"East Dunbartonshire",3
2012-01-31,"East Lothian",2
2012-01-31,"East Renfrewshire",3
2012-01-31,"Edinburgh, City of",5
2012-01-31,"Falkirk",4
2012-01-31,"Fife",5
2012-01-31,"Glasgow City",5
2012-01-31,"Highland",3
2012-01-31,"Inverclyde",3
2012-01-31,"Midlothian",3
2012-01-31,"North Ayrshire",2
2012-01-31,"North Lanarkshire",3
2012-01-31,"Perth and Kinross",5
2012-01-31,"Renfrewshire",3
2012-01-31,"Scottish Borders",2
2012-01-31,"Shetland Islands",3
2012-01-31,"South Ayrshire",3
