NAME,Year,wplearning
Scotland,2018,16.9
Scottish Borders,2004,24.2
Scottish Borders,2004,24.2
Scottish Borders,2005,20.2
Scottish Borders,2005,20.2
Scottish Borders,2006,21.7
Scottish Borders,2006,21.7
Scottish Borders,2007,22.6
Scottish Borders,2007,22.6
Scottish Borders,2008,22.8
Scottish Borders,2008,22.8
Scottish Borders,2009,18.5
Scottish Borders,2009,18.5
Scottish Borders,2010,18.8
Scottish Borders,2010,18.8
Scottish Borders,2011,20.1
Scottish Borders,2011,20.1
Scottish Borders,2012,19.7
Scottish Borders,2012,19.7
Scottish Borders,2013,20.3
Scottish Borders,2013,20.3
Scottish Borders,2014,23.2
Scottish Borders,2014,23.2
Scottish Borders,2015,20.7
Scottish Borders,2015,20.7
Scottish Borders,2016,21.6
Scottish Borders,2016,21.6
Scottish Borders,2017,20.1
Scottish Borders,2017,20.1
Scottish Borders,2018,18.2
Scottish Borders,2018,18.2
Shetland Islands,2004,30.5
Shetland Islands,2004,30.5
Shetland Islands,2005,26.4
Shetland Islands,2005,26.4
Shetland Islands,2006,26.8
Shetland Islands,2006,26.8
Shetland Islands,2007,23.9
Shetland Islands,2007,23.9
Shetland Islands,2008,26
Shetland Islands,2008,26
Shetland Islands,2009,27.5
Shetland Islands,2009,27.5
Shetland Islands,2010,20.8
Shetland Islands,2010,20.8
Shetland Islands,2011,25.4
Shetland Islands,2011,25.4
Shetland Islands,2012,26
Shetland Islands,2012,26
Shetland Islands,2013,24.3
Shetland Islands,2013,24.3
Shetland Islands,2014,30.1
Shetland Islands,2014,30.1
Shetland Islands,2015,24.3
Shetland Islands,2015,24.3
Shetland Islands,2016,26.8
Shetland Islands,2016,26.8
Shetland Islands,2017,24.8
Shetland Islands,2017,24.8
Shetland Islands,2018,21
Shetland Islands,2018,21
South Ayrshire,2004,24.6
South Ayrshire,2004,24.6
South Ayrshire,2005,22.4
South Ayrshire,2005,22.4
South Ayrshire,2006,22.3
South Ayrshire,2006,22.3
South Ayrshire,2007,21.3
South Ayrshire,2007,21.3
South Ayrshire,2008,22.2
South Ayrshire,2008,22.2
South Ayrshire,2009,20
South Ayrshire,2009,20
South Ayrshire,2010,21.4
South Ayrshire,2010,21.4
South Ayrshire,2011,18.7
South Ayrshire,2011,18.7
South Ayrshire,2012,20.5
South Ayrshire,2012,20.5
South Ayrshire,2013,24.7
South Ayrshire,2013,24.7
South Ayrshire,2014,24.4
South Ayrshire,2014,24.4
South Ayrshire,2015,23.6
South Ayrshire,2015,23.6
South Ayrshire,2016,20.1
South Ayrshire,2016,20.1
South Ayrshire,2017,21.1
South Ayrshire,2017,21.1
South Ayrshire,2018,21.5
South Ayrshire,2018,21.5
South Lanarkshire,2004,21.4
South Lanarkshire,2004,21.4
South Lanarkshire,2005,20.5
South Lanarkshire,2005,20.5
South Lanarkshire,2006,24.2
South Lanarkshire,2006,24.2
South Lanarkshire,2007,21.8
South Lanarkshire,2007,21.8
South Lanarkshire,2008,21.9
South Lanarkshire,2008,21.9
South Lanarkshire,2009,21.2
South Lanarkshire,2009,21.2
South Lanarkshire,2010,19.7
South Lanarkshire,2010,19.7
South Lanarkshire,2011,23.5
South Lanarkshire,2011,23.5
South Lanarkshire,2012,22.4
South Lanarkshire,2012,22.4
South Lanarkshire,2013,16.7
South Lanarkshire,2013,16.7
South Lanarkshire,2014,11.8
South Lanarkshire,2014,11.8
South Lanarkshire,2015,17.9
South Lanarkshire,2015,17.9
South Lanarkshire,2016,13.1
South Lanarkshire,2016,13.1
South Lanarkshire,2017,12.6
South Lanarkshire,2017,12.6
South Lanarkshire,2018,14.4
South Lanarkshire,2018,14.4
Stirling,2004,25.2
Stirling,2004,25.2
Stirling,2005,24.5
Stirling,2005,24.5
Stirling,2006,22.1
Stirling,2006,22.1
Stirling,2007,18.9
Stirling,2007,18.9
Stirling,2008,19.3
Stirling,2008,19.3
Stirling,2009,20.1
Stirling,2009,20.1
Stirling,2010,16.3
Stirling,2010,16.3
Stirling,2011,17.5
Stirling,2011,17.5
Stirling,2012,17.5
Stirling,2012,17.5
Stirling,2013,19.8
Stirling,2013,19.8
Stirling,2014,18.7
Stirling,2014,18.7
Stirling,2015,21.3
Stirling,2015,21.3
Stirling,2016,24
Stirling,2016,24
Stirling,2017,16.8
Stirling,2017,16.8
Stirling,2018,16.3
Stirling,2018,16.3
West Dunbartonshire,2004,21.8
West Dunbartonshire,2004,21.8
West Dunbartonshire,2005,21
West Dunbartonshire,2005,21
West Dunbartonshire,2006,20.5
West Dunbartonshire,2006,20.5
West Dunbartonshire,2007,20.6
West Dunbartonshire,2007,20.6
West Dunbartonshire,2008,22.6
West Dunbartonshire,2008,22.6
West Dunbartonshire,2009,22.1
West Dunbartonshire,2009,22.1
West Dunbartonshire,2010,18.9
West Dunbartonshire,2010,18.9
West Dunbartonshire,2011,17.9
West Dunbartonshire,2011,17.9
West Dunbartonshire,2012,16.5
West Dunbartonshire,2012,16.5
West Dunbartonshire,2013,16.9
West Dunbartonshire,2013,16.9
West Dunbartonshire,2014,15.8
West Dunbartonshire,2014,15.8
West Dunbartonshire,2015,13.7
West Dunbartonshire,2015,13.7
West Dunbartonshire,2016,16.9
West Dunbartonshire,2016,16.9
West Dunbartonshire,2017,21
West Dunbartonshire,2017,21
