Year,Sector,Value
2011,Total Services,33675
2012,Total Services,34785
2013,Total Services,36635
2014,Total Services,38370
2015,Total Services,39555
2016,Total Services,38690
2017,Total Services,42340
2018,Total Services,40865
2019,Total Services,42775
2002,Transport Equipment (Section CL),1350
2003,Transport Equipment (Section CL),1445
2004,Transport Equipment (Section CL),1750
2005,Transport Equipment (Section CL),1860
2006,Transport Equipment (Section CL),2000
2007,Transport Equipment (Section CL),2385
2008,Transport Equipment (Section CL),2425
2009,Transport Equipment (Section CL),2425
2010,Transport Equipment (Section CL),2515
2011,Transport Equipment (Section CL),2320
2012,Transport Equipment (Section CL),2530
2013,Transport Equipment (Section CL),2475
2014,Transport Equipment (Section CL),2610
2015,Transport Equipment (Section CL),2570
2016,Transport Equipment (Section CL),2435
2017,Transport Equipment (Section CL),2700
2018,Transport Equipment (Section CL),2450
2019,Transport Equipment (Section CL),2250
2002,Transportation and Storage (Section H),2185
2003,Transportation and Storage (Section H),2535
2004,Transportation and Storage (Section H),2475
2005,Transportation and Storage (Section H),2140
2006,Transportation and Storage (Section H),2550
2007,Transportation and Storage (Section H),2455
2008,Transportation and Storage (Section H),2875
2009,Transportation and Storage (Section H),2705
2010,Transportation and Storage (Section H),2745
2011,Transportation and Storage (Section H),3160
2012,Transportation and Storage (Section H),3245
2013,Transportation and Storage (Section H),3275
2014,Transportation and Storage (Section H),3255
2015,Transportation and Storage (Section H),3335
2016,Transportation and Storage (Section H),3405
2017,Transportation and Storage (Section H),3320
2018,Transportation and Storage (Section H),3600
2019,Transportation and Storage (Section H),3750
2002,"Utilities (Section D,E)",1465
2003,"Utilities (Section D,E)",1750
2004,"Utilities (Section D,E)",1925
2005,"Utilities (Section D,E)",1535
2006,"Utilities (Section D,E)",1910
2007,"Utilities (Section D,E)",1760
2008,"Utilities (Section D,E)",2160
2009,"Utilities (Section D,E)",3750
2010,"Utilities (Section D,E)",3515
2011,"Utilities (Section D,E)",5275
2012,"Utilities (Section D,E)",5350
2013,"Utilities (Section D,E)",6205
2014,"Utilities (Section D,E)",4885
2015,"Utilities (Section D,E)",6195
2016,"Utilities (Section D,E)",4585
2017,"Utilities (Section D,E)",5340
2018,"Utilities (Section D,E)",5745
2019,"Utilities (Section D,E)",7590
2002,"Wholesale, Retail and Repairs (Section G)",5325
2003,"Wholesale, Retail and Repairs (Section G)",5715
2004,"Wholesale, Retail and Repairs (Section G)",7855
2005,"Wholesale, Retail and Repairs (Section G)",7260
2006,"Wholesale, Retail and Repairs (Section G)",7395
2007,"Wholesale, Retail and Repairs (Section G)",8095
2008,"Wholesale, Retail and Repairs (Section G)",7565
2009,"Wholesale, Retail and Repairs (Section G)",7040
2010,"Wholesale, Retail and Repairs (Section G)",7015
2011,"Wholesale, Retail and Repairs (Section G)",7775
2012,"Wholesale, Retail and Repairs (Section G)",7820
2013,"Wholesale, Retail and Repairs (Section G)",7915
2014,"Wholesale, Retail and Repairs (Section G)",8570
2015,"Wholesale, Retail and Repairs (Section G)",8750
2016,"Wholesale, Retail and Repairs (Section G)",8605
2017,"Wholesale, Retail and Repairs (Section G)",8565
2018,"Wholesale, Retail and Repairs (Section G)",8335
2019,"Wholesale, Retail and Repairs (Section G)",8425
2002,"Wood and Paper Products, and Printing (Section CC)",1330
2003,"Wood and Paper Products, and Printing (Section CC)",1245
2004,"Wood and Paper Products, and Printing (Section CC)",1425
2005,"Wood and Paper Products, and Printing (Section CC)",1440
2006,"Wood and Paper Products, and Printing (Section CC)",1355
2007,"Wood and Paper Products, and Printing (Section CC)",1290
2008,"Wood and Paper Products, and Printing (Section CC)",1275
2009,"Wood and Paper Products, and Printing (Section CC)",1310
2010,"Wood and Paper Products, and Printing (Section CC)",1395
2011,"Wood and Paper Products, and Printing (Section CC)",1310
2012,"Wood and Paper Products, and Printing (Section CC)",1290
2013,"Wood and Paper Products, and Printing (Section CC)",1290
2014,"Wood and Paper Products, and Printing (Section CC)",1230
2015,"Wood and Paper Products, and Printing (Section CC)",1325
2016,"Wood and Paper Products, and Printing (Section CC)",1215
2017,"Wood and Paper Products, and Printing (Section CC)",1040
2018,"Wood and Paper Products, and Printing (Section CC)",1195
2019,"Wood and Paper Products, and Printing (Section CC)",1280
